Othref,Time,Inhib,Space,Posemo,Self,Social,Humans,Sports,Other,Music,Swear,Discrep,Nonfl,You,Cause,Sexual,Achieve,Relig,Cogmech,We,Senses,Eating,Optim,Incl,Leisure,Job,Hear,Preps,Affect,Excl,Home,Friends,Present,Body,School,Comm,Physcal,I,Groom,Tentat,Up,Motion,Negate,Future,Death,Article,Fillers,Family,Pronoun,Metaph,Feel,Certain,Insight,Assent,Number,Sad,Past,Down,See,TV,Sleep,Money,Anger,Posfeel,Anx,Negemo,Occup
,later,,,aantrekkelijk,,antwoorden,,,,,,,,,,,,,resultaat,,beluisterden,,,,soaps,regeerde,,,hulpvaardig,,,,huilen,gezwollen,,pestte,lunchen,,,,,wandelden,,,,,,,,,,,verwerk*,,,lijd*,geklauterd,,,,,,irriteerde,,,raar,academische
,pauze,,,flink,,consulteer,,,,,,,,,,,,,regelen,,uithoren,,,,dans,bestuurden,,,gespannen,,,,redeneer,trillen,,overbrengen,kouvatten,,,,,opstappen,,,,,,,,,,,verwerkt,,,krenk*,poetste,,,,,,wraakzucht,,,depressie,docente
,geschiedenis,,,belonen,,mevrouw,,,,,,,,,,,,,gedachte,,visie,,,,zwemt,bedrijfsleven,,,verwardheid,,,,verknoei*,plast,,openbaart,slap,,,,,gingen,,,,,,,,,,,geredeneerd,,,lijdt,opgeschort,,,,,,teisterden,,,wrok,bonus
,totdat,,,eervol,,raadden,,,,,,,,,,,,,beteugeld,,oog,,,,verblijf,vergader*,,,geprotesteerd,,,,innemen,plas*,,consulteert,snack,,,,,ontvangt,,,,,,,,,,,uitleggen,,,faalden,besefte,,,,,,vecht*,,,huiveringwekkend,departement
,weldra,,,gemoedsrust,,vraagt,,,,,,,,,,,,,beaamde,,babbelen,,,,gewoond,maatschappij,,,doorstond,,,,verstoor,stram,,verwelkomen,avondeten,,,,,verwijdert,,,,,,,,,,,verwerkten,,,schaadden,geluncht,,,,,,wrevelig,,,overstelpend,eer
,april,,,verwelkomen,,bekritiseert,,,,,,,,,,,,,overeengestemd,,oor,,,,racete,werkt,,,verwaarloos,,,,impliceert,honger,,verdelen,verzwakking,,,,,verwijderd,,,,,,,,,,,heroverwoog,,,neerslachtigheid,gecommuniceerd,,,,,,bedrogen,,,moedeloos,relatiegeschenk
,week,,,steunden,,vertelde,,,,,,,,,,,,,georganiseerd,,weerklonken,,,,zanger,beroep,,,uitgemunt,,,,biecht*,oren,,gebabbeld,hoer,,,,,weggaan,,,,,,,,,,,losgelaten,,,miserabel,vergaf,,,,,,ruw,,,somber,doelbewust
,weer,,,optimist,,praatje,,,,,,,,,,,,,structureren,,gekneld,,,,fietser,concurreer,,,verlangend,,,,slopen,blaas,,roddel*,angina,,,,,meedragen,,,,,,,,,,,bewogen,,,overweldigd,verleende,,,,,,gelul,,,last,nederlaag
,nu,,,opgetogenheid,,beklaagt,,,,,,,,,,,,,gezien,,verschijnen,,,,badpak,carrièrevrouw,,,bedreven,,,,heb,handen,,bekritiseer,mond,,,,,benaderen,,,,,,,,,,,onderkende,,,overweldigt,at,,,,,,vernietigen,,,gillen,presenteer*
,vertrekken,,,verraste,,lieveling,,,,,,,,,,,,,weggestopt,,jeuk,,,,orkest,verantwoordelijkheid,,,betreurenswaardig,,,,tegenspreken,pijnlijke,,gekeuveld,tinteling,,,,,geschud,,,,,,,,,,,concentreren,,,verliezer,uitgevoerd,,,,,,vernedering,,,vernietigend,presenteert
,augustus,,,overtreffen,,beklaagd,,,,,,,,,,,,,heroverweging,,vertellen,,,,wedstrijd,vergaderden,,,kwijtgeraakt,,,,beïnvloeden,burnout,,roddelt,droomden,,,,,liep,,,,,,,,,,,gedachten,,,verliezen,eindigde,,,,,,vijandig,,,stoorden,gefinancierd
,prolongatie,,,leuk,,interview,,,,,,,,,,,,,wenst,,bezichtig*,,,,trimmer,vak,,,dwarsbomen,,,,ligt,dij,,adviseur,zweten,,,,,snelden,,,,,,,,,,,ken,,,overweldig*,uitgegaan,,,,,,ageren,,,verdring*,bevorder*
,altijd,,,tevreden,,vraag*,,,,,,,,,,,,,onthult,,bezichtigt,,,,trimmen,concurreerden,,,berusten,,,,rust,dik,,onthulling,gezwel,,,,,pakt,,,,,,,,,,,beslisten,,,tragisch,stortten,,,,,,agressie,,,slag,uitblinken
,toen,,,steunen,,zeg,,,,,,,,,,,,,beëindigen,,beriep,,,,poetsten,vakbond,,,jende,,,,overlaten,hongerig,,bemoedigden,zoenden,,,,,dansten,,,,,,,,,,,zagen,,,alleen,doodgeslagen,,,,,,godverdorie,,,afschrikken,bevordert
,semester,,,snoezig,,zei,,,,,,,,,,,,,onthuld,,bezichtigd,,,,sportkleding,,,,erger,,,,treiteren,dikke*,,betwist*,condoom,,,,,weglopen,,,,,,,,,,,effect,,,tekortgeschoten,uitgewerkt,,,,,,vernietigden,,,ontliep,vergaderen
,aanhoudend,,,intellectuelen,,participeert,,,,,,,,,,,,,overreedde,,grijp*,,,,poets*,,,,waardeerde,,,,herroept,teennagel,,vermeldde,gebloosd,,,,,gebracht,,,,,,,,,,,begrijpelijk,,,boeten,beangstigd,,,,,,molesteren,,,vreesden,win
,wanneer,,,gestimuleerd,,schonk,,,,,,,,,,,,,onthoudt,,raakte,,,,poetst,,,,beklaagde,,,,proef,aids-test,,gekletst,taille,,,,,verplaats*,,,,,,,,,,,vergaren,,,rouwde,weerhielden,,,,,,onuitstaanbaar,,,verdringt,collega's
,ophouden,,,zoenden,,kritische,,,,,,,,,,,,,betekenis,,grijpt,,,,woonachting,,,,ondraaglijk,,,,overhalen,overgegeven,,bedrieger,geslacht,,,,,verplaatst,,,,,,,,,,,bedenk,,,rouwt,bracht,,,,,,aangerand,,,incapabel,klaslokaal
,tegenwoordig,,,verzekert,,communiceerden,,,,,,,,,,,,,beslissing,,bekeken,,,,ski,,,,redeloos,,,,wijden,pezen,,uitgesproken,allergie,,,,,draafden,,,,,,,,,,,overreden,,,gejankt,ingeslapen,,,,,,schandelijk,,,negeerde,professoren
,laat,,,verzeker*,,mammie,,,,,,,,,,,,,redeneerden,,aanraken,,,,muzikaal,,,,doorstonden,,,,hoest,oog,,bedriegen,knokkels,,,,,volgden,,,,,,,,,,,verklaren,,,tegenspoed,ingepakt,,,,,,klootzak,,,pathetisch,regeer
,uur,,,volmaakt,,luisterden,,,,,,,,,,,,,tegenstrijdig,,bekijkt,,,,refrein,,,,vervloekten,,,,vervolgen,tanden,,praat*,kauwden,,,,,arriveerde,,,,,,,,,,,peinsden,,,gejengeld,smaakte,,,,,,vijandigheid,,,misbruik,advocaten
,maandelijks,,,gezelligheid,,zeggen,,,,,,,,,,,,,beperken,,merken,,,,reclame,,,,bekritiseerden,,,,belet*,oor,,pesten,kookboek,,,,,terugbrengen,,,,,,,,,,,erkennen,,,rouw,mishandelde,,,,,,lul,,,janken,bijles
,actueel,,,goedgekeurd,,betwistte,,,,,,,,,,,,,bevat*,,bittere,,,,,,,,misbruikt,,,,beangstig*,pink,,verhoor,opeten,,,,,gearriveerd,,,,,,,,,,,beredeneerden,,,tekortschieten,redeneerde,,,,,,walging,,,ondergang,management
,vorige,,,gestreeld,,dochters,,,,,,,,,,,,,mening,,bekijk*,,,,,,,,schaamte,,,,onderzoek,verhongerden,,onderhandel,bloedtransfusie,,,,,beklim*,,,,,,,,,,,vermoedde,,,verspelen,knuffelde,,,,,,gejend,,,woede,toekennen
,fase,,,vooruitgegaan,,opperde,,,,,,,,,,,,,ingehouden,,gemeld,,,,,,,,nood,,,,beangstigt,jeuk,,consulteren,zenuwen,,,,,lopen,,,,,,,,,,,betwistten,,,deprimeert,geschonken,,,,,,bedrieglijk,,,uitputtend,presenteerden
,eerder,,,verbeteren,,vertel*,,,,,,,,,,,,,zie,,gehoord,,,,,,,,gewonnen,,,,troost,uitademen,,suggereren,huid,,,,,beklimt,,,,,,,,,,,reflecteerden,,,verdrietig,ruilden,,,,,,toegetakeld,,,afgemat,falen
,zondag,,,voorzichtig,,vertelt,,,,,,,,,,,,,verwachtte,,stinken,,,,,,,,huilen,,,,schep*,bloedvat,,beklaag,verlamd,,,,,gevolgd,,,,,,,,,,,betwisten,,,deprimeer,gestaard,,,,,,overheerst,,,intimideerden,organisatie
,handhaven,,,lol,,verteld,,,,,,,,,,,,,herzag,,geduwd,,,,,,,,verstandig,,,,vermaak,ziekelijk,,vergeef,ingewanden,,,,,genaderd,,,,,,,,,,,geloven,,,opgeven,omgeslagen,,,,,,overheers*,,,intimideerde,winnen
,jaren,,,oppermachtig,,mannen,,,,,,,,,,,,,verdenkt,,omhelzen,,,,,,,,verknoei*,,,,treffen,spier,,participatie,straalbezopen,,,,,danste,,,,,,,,,,,vinden,,,mislukken,geantwoord,,,,,,vocht,,,onvoldoende,besturen
,permanent,,,juichten,,gezegd,,,,,,,,,,,,,intelligent,,bepraatte,,,,,,,,leugen,,,,vit,kunstnier,,bepraat,kniegewricht,,,,,vervoerde,,,,,,,,,,,ontwikkelen,,,rampzalig,droeg,,,,,,verwoestte,,,dreigde,computer
,onafgebroken,,,vergeef,,excuus,,,,,,,,,,,,,verdenk*,,knuffelen,,,,,,,,behaaglijk,,,,beweegt,verzwakten,,openbaren,knuffelt,,,,,weggelopen,,,,,,,,,,,bekenden,,,treurig,bekend,,,,,,strijd,,,plagerij,begeleider
,oud,,,zekerheid,,dames,,,,,,,,,,,,,verheldert,,ziet,,,,,,,,warboel,,,,merk*,koortsig,,gesuggereerd,knieën,,,,,opgeschoven,,,,,,,,,,,bewegen,,,droefheid,trainden,,,,,,opschudding,,,beteugeld,concurreren
,juli,,,gewaagd,,geëxcuseerd,,,,,,,,,,,,,verbood,,uitzicht,,,,,,,,toekenning,,,,berisp*,astmatisch,,uitgevochten,rug,,,,,vervoerd,,,,,,,,,,,afvragen,,,,gereflecteerd,,,,,,wraakzuchtig,,,vaag,geregeerd
,voortgaan,,,verrukkelijk,,telefonisch,,,,,,,,,,,,,aangepast,,geproefd,,,,,,,,hel,,,,blijven,stikten,,verhoorde,wakker,,,,,vervoert,,,,,,,,,,,merkten,,,,gedanst,,,,,,verdomme,,,overstelpen,theoretisch
,tussenpoos,,,mild,,gentleman,,,,,,,,,,,,,gebleken,,kabaal,,,,,,,,nadelig,,,,verklik*,knokkel,,geruchten,allergisch,,,,,verhuist,,,,,,,,,,,afgevraagd,,,,losgescheurd,,,,,,klojo,,,faal,presteerden
,oneindig,,,inspireert,,zussen,,,,,,,,,,,,,presteren,,spreken,,,,,,,,vergaf,,,,beweeg*,kaal,,suggereer,knuffel*,,,,,verhuisd,,,,,,,,,,,waarnemen,,,,gesmeekt,,,,,,berispte,,,beefde,verliest
,sinds,,,geestkracht,,buurman,,,,,,,,,,,,,uiteengezet,,verhalen,,,,,,,,rust,,,,oproepen,kaak,,roep*,urine,,,,,rondgelopen,,,,,,,,,,,vermoedt,,,,opgefleurd,,,,,,humeurig,,,gejammerd,bestuderen
,nachts,,,oprechtheid,,vriendschappelijk,,,,,,,,,,,,,doorzag,,drukten,,,,,,,,geradbraakt,,,,berispt,vaginaal,,medegedeeld,kauwt,,,,,gesneld,,,,,,,,,,,absoluut,,,,gelogen,,,,,,afstraffing,,,ontneem*,functionaris
,januari,,,troosten,,verklikken,,,,,,,,,,,,,samenhangend,,verschenen,,,,,,,,treiteren,,,,merkt,moe,,roept,beminde,,,,,gewaaid,,,,,,,,,,,verduidelijkte,,,,vertoond,,,,,,walgden,,,domineert,arbeidsbureau
,onmiddellijk,,,gewiekst,,betoog,,,,,,,,,,,,,verhelderd,,vertoonde,,,,,,,,goddomme,,,,veroordeel,seropositief,,verhoort,gestikt,,,,,bezoekt,,,,,,,,,,,ervaren,,,,verwerkte,,,,,,furieus,,,protesteer,behaald
,voortduren,,,held,,families,,,,,,,,,,,,,bepalen,,gegrepen,,,,,,,,lachwekkend,,,,uitvechten,bloeding,,onderhandelen,kauw*,,,,,ga,,,,,,,,,,,overweegt,,,,plaagde,,,,,,aanranding,,,faalde,behaalt
,beginstadium,,,geïnspireerd,,kennismaking,,,,,,,,,,,,,oplossen,,geklonken,,,,,,,,wijden,,,,bekent,vrijen,,e-mail,verkoudheid,,,,,hardlopen,,,,,,,,,,,nagedacht,,,,opgekomen,,,,,,gepest,,,vooroordeel,verkoop
,juni,,,gniffelen,,contact,,,,,,,,,,,,,bepaalden,,gevraagd,,,,,,,,beangstig*,,,,verdringen,eierstokken,,interviewt,diabetes,,,,,kom*,,,,,,,,,,,ontkennen,,,,ervoer,,,,,,stom,,,ontneemt,vakman
,eenjarig,,,beminde,,verdeelt,,,,,,,,,,,,,concludeer,,ruis,,,,,,,,doodgeslagen,,,,afkraken,benen,,openbaarde,verkleumd,,,,,gaat,,,,,,,,,,,ontwikkelt,,,,verzekerd,,,,,,ergerden,,,verknoeide,toegekend
,toevallig,,,overtrof,,bedrieg,,,,,,,,,,,,,organiseren,,tentoonstellen,,,,,,,,schoft,,,,dromen,verslikt,,uitleg,misselijk,,,,,afleveren,,,,,,,,,,,ontwikkeld,,,,vereerd,,,,,,verstikkend,,,teister*,Engels
,,,,hartelijk,,ontlok*,,,,,,,,,,,,,voorkomt,,afluisteren,,,,,,,,beangstigt,,,,overgeven,hoestte,,antwoordde,dronken,,,,,gaan,,,,,,,,,,,ontwikkelden,,,,bepaald,,,,,,wreek,,,teistert,loon
,,,,ontspanning,,genodigden,,,,,,,,,,,,,bedwongen,,tast,,,,,,,,ongemak,,,,misbruiken,bloos,,bemoedigde,lip,,,,,komt,,,,,,,,,,,ontwikkel*,,,,beschreven,,,,,,wreed,,,angstaanvallen,examen
,,,,heilzaam,,geuit,,,,,,,,,,,,,verhindert,,tastten,,,,,,,,schade,,,,vertoont,bloot,,beoordeling,vermoeien,,,,,vangen,,,,,,,,,,,erken*,,,,overreedden,,,,,,oproer,,,bedroevend,secretariaat
,,,,enthousiasme,,ontlokt,,,,,,,,,,,,,verhinderd,,gestonken,,,,,,,,beangstigd,,,,aanvaard,bloedsuiker,,sprak,tenen,,,,,vervolgde,,,,,,,,,,,verhelderden,,,,meden,,,,,,klote,,,tragedie,bestuur
,,,,slimmerik,,opperden,,,,,,,,,,,,,nauwkeurig,,zoet,,,,,,,,troost,,,,wast,heupen,,bemoedigd*,krabben,,,,,slaapwandel,,,,,,,,,,,erkent,,,,gebruikten,,,,,,opstand,,,verveling,docent
,,,,gehecht,,samen,,,,,,,,,,,,,betwijfelden,,verklikt,,,,,,,,aansporing,,,,ontlast*,hart,,excuseerde,nasaal,,,,,jogt,,,,,,,,,,,erkend,,,,vergiftigd,,,,,,schandalig,,,onheil,overhoren
,,,,voldoening,,gestoord,,,,,,,,,,,,,beaam,,waarneming,,,,,,,,vermaak,,,,bepaalt,hartstilstand,,onthulde,broodmager,,,,,slaapwandelden,,,,,,,,,,,verduidelijk*,,,,biechtte*,,,,,,hinderde,,,cynisch,wedijveren