"Geslacht";"Persoonskenmerken";"Perioden";"Beroepsbevolking (x 1 000)";"Werkzame beroepsbevolking/Werkzame beroepsbevolking (x 1 000)";"Werkloze beroepsbevolking (x 1 000)"
"Mannen en vrouwen";"Totaal";"1950";"    3873";"    3793";"      80"
"Mannen en vrouwen";"Totaal";"1951";"    3914";"    3824";"      90"
"Mannen en vrouwen";"Totaal";"1952";"    3950";"    3824";"     127"
"Mannen en vrouwen";"Totaal";"1953";"    4001";"    3903";"      98"
"Mannen en vrouwen";"Totaal";"1954";"    4010";"    3937";"      73"
"Mannen en vrouwen";"Totaal";"1955";"    4046";"    3994";"      51"
"Mannen en vrouwen";"Totaal";"1956";"    4113";"    4072";"      40"
"Mannen en vrouwen";"Totaal";"1957";"    4148";"    4096";"      52"
"Mannen en vrouwen";"Totaal";"1958";"    4173";"    4081";"      91"
"Mannen en vrouwen";"Totaal";"1959";"    4173";"    4102";"      70"
"Mannen en vrouwen";"Totaal";"1960";"    4240";"    4193";"      47"
"Mannen en vrouwen";"Totaal";"1961";"    4257";"    4221";"      37"
"Mannen en vrouwen";"Totaal";"1962";"    4353";"    4316";"      37"
"Mannen en vrouwen";"Totaal";"1963";"    4428";"    4387";"      41"
"Mannen en vrouwen";"Totaal";"1964";"    4469";"    4432";"      37"
"Mannen en vrouwen";"Totaal";"1965";"    4555";"    4513";"      42"
"Mannen en vrouwen";"Totaal";"1966";"    4629";"    4572";"      56"
"Mannen en vrouwen";"Totaal";"1967";"    4642";"    4542";"     100"
"Mannen en vrouwen";"Totaal";"1968";"    4691";"    4598";"      93"
"Mannen en vrouwen";"Totaal";"1969";"    4769";"    4696";"      73"
"Mannen en vrouwen";"Totaal";"1970";"    4806";"    4739";"      67"
"Mannen en vrouwen";"Totaal";"1971";"    4858";"    4770";"      88"
"Mannen en vrouwen";"Totaal";"1972";"    4907";"    4770";"     137"
"Mannen en vrouwen";"Totaal";"1973";"    4972";"    4832";"     140"
"Mannen en vrouwen";"Totaal";"1974";"    5000";"    4834";"     166"
"Mannen en vrouwen";"Totaal";"1975";"    4998";"    4782";"     215"
"Mannen en vrouwen";"Totaal";"1976";"    5099";"    4858";"     241"
"Mannen en vrouwen";"Totaal";"1977";"    5136";"    4909";"     227"
"Mannen en vrouwen";"Totaal";"1978";"    5191";"    4954";"     236"
"Mannen en vrouwen";"Totaal";"1979";"    5301";"    5051";"     250"
"Mannen en vrouwen";"Totaal";"1980";"    5293";"    5037";"     256"
"Mannen en vrouwen";"Totaal";"1981";"    5379";"    5042";"     337"
"Mannen en vrouwen";"Totaal";"1982";"    5385";"    4914";"     471"
"Mannen en vrouwen";"Totaal";"1983";"    5458";"    4873";"     585"
"Mannen en vrouwen";"Totaal";"1984";"    5460";"    4886";"     574"
"Mannen en vrouwen";"Totaal";"1985";"    5521";"    4991";"     530"
"Mannen en vrouwen";"Totaal";"1986";"    5671";"    5181";"     490"
"Mannen en vrouwen";"Totaal";"1987";"    5743";"    5257";"     486"
"Mannen en vrouwen";"Totaal";"1988";"    5867";"    5378";"     490"
"Mannen en vrouwen";"Totaal";"1989";"    5929";"    5477";"     452"
"Mannen en vrouwen";"Totaal";"1990";"    6063";"    5644";"     419"
"Mannen";"Totaal";"1950";"    2810";"    2748";"      61"
"Mannen";"Totaal";"1951";"    2842";"    2775";"      67"
"Mannen";"Totaal";"1952";"    2857";"    2757";"     100"
"Mannen";"Totaal";"1953";"    2876";"    2804";"      72"
"Mannen";"Totaal";"1954";"    2901";"    2849";"      52"
"Mannen";"Totaal";"1955";"    2929";"    2893";"      35"
"Mannen";"Totaal";"1956";"    2957";"    2930";"      27"
"Mannen";"Totaal";"1957";"    2980";"    2945";"      35"
"Mannen";"Totaal";"1958";"    2999";"    2931";"      68"
"Mannen";"Totaal";"1959";"    3024";"    2974";"      50"
"Mannen";"Totaal";"1960";"    3077";"    3046";"      31"
"Mannen";"Totaal";"1961";"    3078";"    3055";"      23"
"Mannen";"Totaal";"1962";"    3136";"    3115";"      21"
"Mannen";"Totaal";"1963";"    3187";"    3162";"      24"
"Mannen";"Totaal";"1964";"    3229";"    3208";"      21"
"Mannen";"Totaal";"1965";"    3270";"    3244";"      26"
"Mannen";"Totaal";"1966";"    3310";"    3273";"      37"
"Mannen";"Totaal";"1967";"    3342";"    3271";"      71"
"Mannen";"Totaal";"1968";"    3357";"    3294";"      63"
"Mannen";"Totaal";"1969";"    3379";"    3333";"      46"
"Mannen";"Totaal";"1970";"    3410";"    3371";"      39"
"Mannen";"Totaal";"1971";"    3405";"    3353";"      52"
"Mannen";"Totaal";"1972";"    3470";"    3383";"      86"
"Mannen";"Totaal";"1973";"    3487";"    3403";"      84"
"Mannen";"Totaal";"1974";"    3503";"    3404";"      99"
"Mannen";"Totaal";"1975";"    3506";"    3384";"     122"
"Mannen";"Totaal";"1976";"    3544";"    3405";"     139"
"Mannen";"Totaal";"1977";"    3559";"    3435";"     123"
"Mannen";"Totaal";"1978";"    3563";"    3444";"     119"
"Mannen";"Totaal";"1979";"    3593";"    3466";"     127"
"Mannen";"Totaal";"1980";"    3596";"    3469";"     126"
"Mannen";"Totaal";"1981";"    3632";"    3451";"     181"
"Mannen";"Totaal";"1982";"    3619";"    3346";"     273"
"Mannen";"Totaal";"1983";"    3636";"    3280";"     356"
"Mannen";"Totaal";"1984";"    3635";"    3289";"     346"
"Mannen";"Totaal";"1985";"    3643";"    3337";"     306"
"Mannen";"Totaal";"1986";"    3694";"    3432";"     262"
"Mannen";"Totaal";"1987";"    3763";"    3536";"     226"
"Mannen";"Totaal";"1988";"    3797";"    3564";"     233"
"Mannen";"Totaal";"1989";"    3825";"    3619";"     206"
"Mannen";"Totaal";"1990";"    3865";"    3686";"     179"
"Vrouwen";"Totaal";"1950";"    1064";"    1045";"      19"
"Vrouwen";"Totaal";"1951";"    1072";"    1049";"      23"
"Vrouwen";"Totaal";"1952";"    1094";"    1067";"      27"
"Vrouwen";"Totaal";"1953";"    1125";"    1099";"      26"
"Vrouwen";"Totaal";"1954";"    1110";"    1088";"      21"
"Vrouwen";"Totaal";"1955";"    1117";"    1101";"      16"
"Vrouwen";"Totaal";"1956";"    1155";"    1142";"      13"
"Vrouwen";"Totaal";"1957";"    1168";"    1151";"      16"
"Vrouwen";"Totaal";"1958";"    1174";"    1150";"      23"
"Vrouwen";"Totaal";"1959";"    1149";"    1129";"      20"
"Vrouwen";"Totaal";"1960";"    1163";"    1147";"      16"
"Vrouwen";"Totaal";"1961";"    1179";"    1165";"      13"
"Vrouwen";"Totaal";"1962";"    1217";"    1201";"      16"
"Vrouwen";"Totaal";"1963";"    1241";"    1225";"      16"
"Vrouwen";"Totaal";"1964";"    1240";"    1224";"      16"
"Vrouwen";"Totaal";"1965";"    1285";"    1269";"      17"
"Vrouwen";"Totaal";"1966";"    1318";"    1299";"      19"
"Vrouwen";"Totaal";"1967";"    1300";"    1271";"      28"
"Vrouwen";"Totaal";"1968";"    1334";"    1304";"      30"
"Vrouwen";"Totaal";"1969";"    1390";"    1363";"      27"
"Vrouwen";"Totaal";"1970";"    1396";"    1368";"      28"
"Vrouwen";"Totaal";"1971";"    1453";"    1417";"      36"
"Vrouwen";"Totaal";"1972";"    1437";"    1387";"      50"
"Vrouwen";"Totaal";"1973";"    1486";"    1429";"      57"
"Vrouwen";"Totaal";"1974";"    1498";"    1430";"      68"
"Vrouwen";"Totaal";"1975";"    1491";"    1398";"      93"
"Vrouwen";"Totaal";"1976";"    1555";"    1454";"     101"
"Vrouwen";"Totaal";"1977";"    1577";"    1473";"     104"
"Vrouwen";"Totaal";"1978";"    1628";"    1511";"     117"
"Vrouwen";"Totaal";"1979";"    1708";"    1585";"     123"
"Vrouwen";"Totaal";"1980";"    1697";"    1567";"     130"
"Vrouwen";"Totaal";"1981";"    1746";"    1591";"     156"
"Vrouwen";"Totaal";"1982";"    1767";"    1568";"     198"
"Vrouwen";"Totaal";"1983";"    1822";"    1593";"     229"
"Vrouwen";"Totaal";"1984";"    1824";"    1597";"     227"
"Vrouwen";"Totaal";"1985";"    1878";"    1654";"     224"
"Vrouwen";"Totaal";"1986";"    1977";"    1749";"     228"
"Vrouwen";"Totaal";"1987";"    1980";"    1721";"     259"
"Vrouwen";"Totaal";"1988";"    2070";"    1814";"     257"
"Vrouwen";"Totaal";"1989";"    2104";"    1858";"     246"
"Vrouwen";"Totaal";"1990";"    2198";"    1958";"     240"
